n;orig_var;target_var;label;type;critical
1;ID;ID;Patient ID;id;TRUE
2;Situacio_2026;remain_active;Active 2026;factor_status;TRUE
3;USUA_SEXE;sex_female;Sex (female);factor_sex;FALSE
4;EDAT;Edat;Age (years);numeric;FALSE
5;ATDOM;years_home_based;Years in home-based program;date_diff;FALSE
6;ESTRATGMA;high_comorbidity;High comorbidity status (AMG index ≥p85);gma_strat;FALSE
7;C_GMA_N_CRONIQUES;C_GMA_N_CRONIQUES;No. registered chronic diseases;numeric;FALSE
8;C_GMA_CODI;GMA_CODE;Commorbidity and complexity;GMA_CODE;FALSE
9;INDEX_FRAGIL_VIG;INDEX_FRAGIL_VIG;Fragil Vig index;numeric;FALSE
10;PR_PCC_DATA;PCC;PCC;PCC;FALSE
11;PR_MACA_DATA;MACA;MACA;MACA;FALSE
12;BARTHEL;barthel_cat;Dependency according to Barthel Index for Activities of Daily Living;barthel;FALSE
13;PFEIFFER;pfeiffer_cat;Short Portable Mental Status Questionnaire;pfeiffer;FALSE
14;IN_URINARIA;incontinence_cat;Incontinence;incontinence;FALSE
15;IN_FECAL;incontinence_cat;Incontinence;incontinence;FALSE
16;GIJON;social_risk;Social risk;gijon;FALSE
17;TIRS;TIRS;Social Risk (TIRS);TIRS;FALSE
18;VC_VIU_SOL_VALOR;living_alone;Living alone;logic_cat;FALSE
19;VC_ADEQ_LLAR_VALOR;need_household_adapt;Need for any household adaptation;logic_cat;FALSE
20;DOMICILI_INF_TOT;DOMICILI_INF_TOT;PHC Nurse - Home-based visits;numeric;FALSE
21;TOTAL_VISITS_INF;TOTAL_VISITS_INF;PHC Nurse - All visits (telephone and home based);numeric;FALSE
22;UPC_TOTAL_INF;coc_nurse;PHC Nurse - CoC-assigned;percentage;FALSE
23;DOMICILI_MF_TOT;DOMICILI_MF_TOT;GP - Home-based visits;numeric;FALSE
24;TOTAL_VISITS_MF;TOTAL_VISITS_MF;GP - All visits (telephone and home based);numeric;FALSE
25;UPC_TOTAL_MF;coc_physician;GP - CoC-assigned;percentage;FALSE
26;DOMICILI_CONJ_TOT;DOMICILI_CONJ;GP and PHC nurse - Home-based visits;numeric;FALSE
27;TOTAL_VISITS_CONJ;TOTAL_VISITS_CONJF;GP and PHC nurse - All visits (telephone and home based);numeric;FALSE
28;UPC_TOTAL_CONJ;coc_conj;GP and PHC nurse - CoC-assigned;percentage;FALSE
29;SEM_num;SEM_num;SEM_num;numeric;FALSE
30;ALTA_UCIES_num;emergency_visits;emergency_visits;emergency;FALSE
31;CUAP_num;emergency_visits;emergency_visits;emergency;FALSE
32;INGRES_num;INGRES_num;INGRES_num;numeric;FALSE
33;USUA_UAB_UP;USUA_UAB_UP;Healthcare center;uab_name;FALSE
34;USUA_UAB_UP;organit_atdom_1;organit_atdom_1;uab_org1;FALSE
35;USUA_UAB_UP;organit_atdom_2;organit_atdom_2;uab_org2;FALSE
